user_id,recency,frequency,monetary
R00000,44,25,366.05
R00001,24,14,180.53
R00002,33,24,378.99
R00003,80,9,121.47
R00004,31,16,268.43
R00005,21,19,274.42
R00006,86,14,199.01
R00007,38,19,366.09000000000003
R00008,25,19,272.18
R00009,98,14,253.57
R00010,19,31,447.56
R00011,39,18,312.18
R00012,39,23,328.94
R00013,66,14,226.87
R00014,23,29,427.76
R00015,25,26,405.48
R00016,40,20,308.93
R00017,22,19,287.47
R00018,31,24,319.6
R00019,22,26,461.88
R00020,22,19,318.11
R00021,29,15,200.27
R00022,33,18,259.07
R00023,31,22,310.88
R00024,80,20,322.29
R00025,21,13,206.02
R00026,47,18,282.12
R00027,25,24,413.08
R00028,76,18,283.57
R00029,24,14,234.43
R00030,37,16,234.1
R00031,33,25,419.52
R00032,21,19,284.47
R00033,24,22,345.74
R00034,27,22,325.36
R00035,24,11,181.79
R00036,32,24,339.99
R00037,48,19,285.91
R00038,40,18,237.01
R00039,25,14,172.69
R00040,27,15,195.9
R00041,19,17,245.22
R00042,39,17,227.24
R00043,20,21,354.73
R00044,80,18,310.09000000000003
R00045,48,18,299.44
R00046,28,29,426.03
R00047,26,21,344.63
R00048,18,21,313.11
R00049,22,18,267.75
R00050,114,13,207.6
R00051,35,22,303.25
R00052,42,22,344.53
R00053,21,19,283.79
R00054,23,15,249.13
R00055,29,18,309.3
R00056,59,23,348.64
R00057,40,26,384.87
R00058,25,16,252.76
R00059,120,18,259.42
R00060,26,19,271.8
R00061,68,26,395.84000000000003
R00062,44,22,344.3
R00063,21,18,284.54
R00064,35,13,240.39
R00065,26,18,315.37
R00066,62,19,269.15
R00067,62,15,189.86
R00068,23,26,386.43
R00069,20,25,331.09
R00070,36,18,296.24
R00071,22,32,439.81
R00072,40,20,307.01
R00073,31,16,294.43
R00074,25,21,316.65
R00075,35,21,346.8
R00076,53,19,278.36
R00077,43,13,226.78
R00078,19,19,327.38
R00079,30,31,517.05
R00080,92,20,326.02
R00081,67,25,382.93
R00082,19,21,370.72
R00083,37,17,286.36
R00084,29,20,345.95
R00085,72,19,273.57
R00086,64,24,356.04
R00087,24,20,315.32
R00088,24,21,318.18
R00089,34,30,496.09
R00090,42,24,406.65
R00091,151,15,247.52
R00092,26,22,368.51
R00093,19,26,368.76
R00094,29,20,264.42
R00095,103,22,364.74
R00096,32,23,357.83
R00097,50,16,208.87
R00098,21,24,357.52
R00099,33,26,395.9
R00100,39,23,383.65
R00101,21,28,401.03
R00102,36,12,171.6
R00103,44,22,332.85
R00104,39,17,284.03
R00105,38,24,383.98
R00106,28,21,333.96999999999997
R00107,45,13,228.5
R00108,28,20,301.90999999999997
R00109,20,21,300.33
R00110,61,12,219.6
R00111,22,22,320.63
R00112,39,18,288.27
R00113,32,21,365.87
R00114,22,28,499.38
R00115,35,18,264.76
R00116,29,21,360.78
R00117,20,25,346.5
R00118,54,16,265.4
R00119,23,17,251.88
R00120,21,14,207.7
R00121,26,9,126.46000000000001
R00122,77,18,276.9
R00123,36,23,311.43
R00124,22,21,346.26
R00125,26,21,347.36
R00126,25,26,413.12
R00127,26,16,242.22
R00128,41,19,302.01
R00129,32,18,307.89
R00130,21,19,287.0
R00131,20,30,463.41
R00132,22,16,222.95
R00133,29,24,401.13
R00134,65,16,238.48
R00135,123,12,176.37
R00136,46,18,274.63
R00137,25,21,319.67
R00138,51,19,303.34
R00139,56,23,343.67
R00140,37,19,312.18
R00141,67,24,337.09000000000003
R00142,19,24,361.8
R00143,36,19,326.51
R00144,25,25,416.8
R00145,24,21,402.64
R00146,22,15,254.68
R00147,30,23,404.86
R00148,35,14,215.59
R00149,76,22,334.41
R00150,76,13,164.34
R00151,19,23,384.85
R00152,49,31,521.06
R00153,27,20,287.7
R00154,20,23,351.69
R00155,42,17,274.15999999999997
R00156,58,13,216.95000000000002
R00157,28,26,367.5
R00158,22,25,387.24
R00159,34,17,269.11
R00160,19,18,290.68
R00161,20,19,298.01
R00162,37,23,372.39
R00163,25,16,254.07999999999998
R00164,23,24,395.06
R00165,29,24,361.35
R00166,37,23,365.87
R00167,24,19,325.61
R00168,26,17,276.27
R00169,25,20,268.39
R00170,31,14,206.54
R00171,20,20,300.03
R00172,29,26,377.28999999999996
R00173,108,19,304.13
R00174,20,23,383.27
R00175,43,11,155.68
R00176,31,26,381.63
R00177,90,21,339.64
R00178,22,23,356.15
R00179,53,25,380.19
R00180,26,14,205.14000000000001
R00181,23,18,262.74
R00182,38,17,223.07
R00183,31,24,385.74
R00184,35,19,313.37
R00185,22,19,289.74
R00186,20,10,131.33
R00187,94,18,292.28000000000003
R00188,27,14,219.67000000000002
R00189,27,31,462.11
R00190,61,17,297.7
R00191,24,16,232.01
R00192,20,24,317.24
R00193,22,17,321.95
R00194,39,22,368.93
R00195,27,20,322.01
R00196,40,16,265.72
R00197,82,6,99.73
R00198,29,22,338.21999999999997
R00199,61,15,223.86
R00200,25,25,340.05
R00201,43,11,165.96
R00202,56,7,111.2
R00203,22,19,275.64
R00204,44,18,262.23
R00205,28,23,364.0
R00206,29,15,221.34
R00207,20,23,366.51
R00208,74,14,235.34
R00209,47,18,264.29
R00210,43,20,319.67
R00211,22,15,214.77
R00212,22,21,316.32
R00213,24,25,351.69
R00214,28,17,245.51
R00215,33,22,331.39
R00216,28,19,311.96
R00217,29,21,284.48
R00218,25,20,301.34
R00219,25,21,364.69
R00220,25,23,357.36
R00221,21,24,428.40999999999997
R00222,41,15,221.03
R00223,54,22,334.06
R00224,41,17,296.57
R00225,30,13,216.7
R00226,51,22,312.66
R00227,25,13,171.8
R00228,42,18,241.02
R00229,20,21,353.51
R00230,37,24,388.6
R00231,31,22,312.44
R00232,25,14,210.96
R00233,21,25,408.9
R00234,33,14,212.26999999999998
R00235,27,27,409.18
R00236,23,16,273.74
R00237,27,15,271.13
R00238,19,15,203.47
R00239,35,14,225.81
R00240,37,14,231.58
R00241,34,29,485.98
R00242,42,17,238.34
R00243,44,16,261.08
R00244,45,15,205.35
R00245,27,21,289.15999999999997
R00246,34,24,312.98
R00247,89,18,285.47
R00248,59,25,392.49
R00249,24,23,319.32
R00250,20,21,333.29
R00251,20,19,305.95
R00252,28,27,363.82
R00253,25,21,340.37
R00254,29,26,399.61
R00255,25,15,221.4
R00256,42,15,216.03
R00257,22,21,359.34
R00258,54,22,311.73
R00259,39,18,243.82999999999998
R00260,32,18,249.66
R00261,23,13,198.07
R00262,28,22,331.95
R00263,25,23,300.86
R00264,71,14,200.99
R00265,25,20,277.81
R00266,42,20,315.79
R00267,41,25,386.51
R00268,35,20,302.25
R00269,29,25,447.42
R00270,19,25,401.63
R00271,30,21,274.64
R00272,20,29,434.36
R00273,37,22,387.96
R00274,49,18,253.33
R00275,26,14,184.42
R00276,45,20,273.06
R00277,23,17,257.66
R00278,35,23,364.87
R00279,38,18,267.08
R00280,70,24,376.36
R00281,21,20,319.29
R00282,47,21,319.62
R00283,64,17,270.61
R00284,29,19,357.21999999999997
R00285,30,19,275.33
R00286,90,18,257.77
R00287,33,20,296.67
R00288,79,19,306.38
R00289,31,18,257.71
R00290,23,22,366.76
R00291,34,22,323.47
R00292,79,15,239.16
R00293,31,23,366.48
R00294,29,19,287.89
R00295,46,18,277.71000000000004
R00296,19,14,202.03
R00297,67,19,293.51
R00298,56,16,180.84
R00299,23,17,235.34
R00300,41,23,330.04
R00301,32,16,260.65
R00302,48,17,250.5
R00303,23,21,337.38
R00304,35,20,336.34999999999997
R00305,32,20,314.63
R00306,20,24,342.05
R00307,25,23,372.45
R00308,29,25,397.05
R00309,28,20,281.52
R00310,28,24,366.78000000000003
R00311,44,24,361.46000000000004
R00312,23,22,379.43
R00313,29,21,312.96
R00314,112,25,405.91
R00315,35,19,364.76
R00316,40,12,175.21
R00317,48,15,266.87
R00318,36,22,372.01
R00319,44,21,321.71
R00320,47,21,383.96999999999997
R00321,22,21,324.19
R00322,41,20,309.46
R00323,20,23,341.06
R00324,27,21,406.06
R00325,23,21,380.97
R00326,68,19,273.38
R00327,40,13,202.2
R00328,99,18,251.75
R00329,33,22,318.42
R00330,54,12,182.61
R00331,40,19,285.5
R00332,33,20,306.5
R00333,31,22,288.91
R00334,50,16,241.44
R00335,34,22,344.4
R00336,30,19,267.67
R00337,26,26,457.46999999999997
R00338,32,28,426.41
R00339,19,19,324.27
R00340,53,27,484.93
R00341,42,13,204.56
R00342,35,12,167.41
R00343,34,19,284.76
R00344,22,19,278.01
R00345,50,14,208.23
R00346,29,15,204.06
R00347,22,18,272.81
R00348,30,18,253.79
R00349,45,21,295.23
R00350,33,18,258.78999999999996
R00351,23,14,228.76
R00352,30,25,401.05
R00353,22,14,205.9
R00354,30,19,261.49
R00355,27,29,464.45
R00356,101,11,176.82999999999998
R00357,59,21,312.4
R00358,44,22,393.02
R00359,69,16,272.01
R00360,31,21,342.53
R00361,33,20,283.75
R00362,100,19,276.28
R00363,31,18,292.85
R00364,50,13,211.39000000000001
R00365,37,22,277.46999999999997
R00366,40,23,376.9
R00367,24,22,364.81
R00368,35,18,292.56
R00369,29,19,280.19
R00370,49,25,345.32
R00371,42,15,261.4
R00372,24,24,361.01
R00373,36,24,349.84
R00374,38,19,292.72
R00375,19,16,269.85
R00376,53,15,228.11
R00377,30,22,332.76
R00378,48,19,254.02
R00379,80,18,245.87
R00380,25,22,323.27
R00381,48,25,357.2
R00382,20,19,352.45
R00383,21,19,291.96
R00384,39,18,225.38
R00385,41,24,311.06
R00386,29,20,325.55
R00387,37,18,254.42000000000002
R00388,31,27,420.37
R00389,55,16,239.3
R00390,60,23,374.1
R00391,39,22,342.81
R00392,29,19,289.1
R00393,21,16,241.3
R00394,23,16,273.83
R00395,22,30,507.2
R00396,24,24,368.18
R00397,28,22,377.45
R00398,75,15,287.29
R00399,69,20,279.38
R00400,27,14,213.66
R00401,68,21,344.62
R00402,46,19,261.82
R00403,20,28,441.99
R00404,26,23,280.78999999999996
R00405,25,21,397.93
R00406,77,16,269.76
R00407,93,18,306.1
R00408,37,22,364.05
R00409,24,26,395.75
R00410,59,21,344.6
R00411,21,18,270.04
