iter	RMSE
0	0.2386633448
1	0.2274273321
2	0.2195444959
3	0.2147476526
4	0.2109602619
5	0.2082099021
6	0.2064995422
7	0.2050531726
8	0.2039480686
9	0.203133281
10	0.2024566469
11	0.2019509375
12	0.2016442529
13	0.2013799224
14	0.2010943334
15	0.2007496447
16	0.2005015947
17	0.2003969421
18	0.2002488562
19	0.2001202355
20	0.2000440443
21	0.1999870188
22	0.1999798047
23	0.1998864082
24	0.1998490867
25	0.1998136994
26	0.1997595291
27	0.199731471
28	0.1996749224
29	0.1996256729
30	0.1995704008
31	0.1995393425
32	0.1995068562
33	0.1994893155
34	0.1994566871
35	0.1994285535
36	0.1993862931
37	0.1993522247
38	0.1993302626
39	0.1993050297
40	0.1992681155
41	0.1992322019
42	0.1991983297
43	0.199161015
44	0.199124219
45	0.1990932542
46	0.1990830798
47	0.1990521751
48	0.1990147551
49	0.1989857141
50	0.1989615131
51	0.1989292692
52	0.1989060054
53	0.1988845665
54	0.1988594565
55	0.1988330971
56	0.1987881492
57	0.1987441209
58	0.1987299352
59	0.1987046353
60	0.198670832
61	0.1986424246
62	0.198610312
63	0.1985684867
64	0.1985327835
65	0.1984995525
66	0.1984680868
67	0.198441603
68	0.1984107941
69	0.1983783118
70	0.1983317526
71	0.1982813519
72	0.1982410176
73	0.1981893611
74	0.1981556169
75	0.1981292127
76	0.1980775757
77	0.1980517156
78	0.198020355
79	0.1979894525
80	0.1979563832
81	0.1979235867
82	0.1978860053
83	0.1978582769
84	0.1978172579
85	0.1977960682
86	0.197737884
87	0.1976900428
88	0.1976556212
89	0.1975980456
90	0.1975666989
91	0.1975148091
92	0.1974693315
93	0.1974402725
94	0.1974118951
95	0.1973843886
96	0.1973420956
97	0.1973100136
98	0.1972744146
99	0.197242978
100	0.1972113977
101	0.197173518
102	0.1971439326
103	0.1971132061
104	0.1970765983
105	0.1970416037
106	0.1970191979
107	0.196994921
108	0.1969595708
109	0.1969231894
110	0.1968961077
111	0.1968607732
112	0.1968387245
113	0.1968104171
114	0.1967756052
115	0.1967378962
116	0.1967128176
117	0.1966872499
118	0.1966520589
119	0.1966051375
120	0.1965767852
121	0.1965531334
122	0.1965147467
123	0.1964886145
124	0.1964561183
125	0.1964146059
126	0.1963768292
127	0.1963585541
128	0.1963192561
129	0.1962919672
130	0.1962600743
131	0.1962318053
132	0.1961962913
133	0.1961663654
134	0.1961365845
135	0.1961131064
136	0.196086919
137	0.1960664133
138	0.1960362875
139	0.1960061007
140	0.1959669662
141	0.1959374313
142	0.1958974659
143	0.1958674276
144	0.1958372625
145	0.1957976158
146	0.1957744981
147	0.1957471015
148	0.1957066441
149	0.1956767365
150	0.1956415452
151	0.1956248214
152	0.1955953245
153	0.1955681218
154	0.1955459721
155	0.1954991809
156	0.1954659868
157	0.1954299502
158	0.1953881403
159	0.195341427
160	0.1953228023
161	0.195292494
162	0.1952722952
163	0.1952517034
164	0.1952190352
165	0.1951985105
166	0.1951595157
167	0.1951425703
168	0.1951186064
169	0.1950828443
170	0.1950511364
171	0.1950210043
172	0.194975536
173	0.1949462507
174	0.1949147029
175	0.1948972218
176	0.1948705437
177	0.1948439596
178	0.1948106179
179	0.1947993207
180	0.1947697138
181	0.1947197356
182	0.1946958937
183	0.1946647136
184	0.1946466468
185	0.194625587
186	0.1946033026
187	0.1945802437
188	0.1945612189
189	0.1945466897
190	0.1945137764
191	0.1944879313
192	0.1944681171
193	0.1944273671
194	0.1944071915
195	0.1943774855
196	0.1943569705
197	0.1943190285
198	0.1942895448
199	0.194250666
200	0.1942307508
201	0.1942066452
202	0.1941942327
203	0.1941713693
