iter	Passed	Remaining
0	10	20647
1	17	17323
2	23	15937
3	30	15018
4	36	14564
5	42	14251
6	49	13978
7	55	13783
8	62	13797
9	68	13717
10	76	13746
11	82	13727
12	88	13581
13	95	13541
14	101	13447
15	107	13385
16	114	13347
17	120	13255
18	126	13234
19	133	13208
20	139	13185
21	145	13122
22	149	12880
23	156	12871
24	162	12809
25	167	12718
26	173	12701
27	180	12703
28	186	12645
29	192	12642
30	198	12639
31	205	12624
32	212	12637
33	218	12613
34	224	12625
35	232	12684
36	238	12674
37	245	12673
38	251	12652
39	257	12638
40	264	12614
41	270	12616
42	277	12612
43	284	12636
44	290	12636
45	296	12609
46	302	12587
47	308	12561
48	315	12548
49	321	12530
50	328	12540
51	334	12545
52	341	12530
53	347	12532
54	353	12513
55	360	12502
56	366	12496
57	373	12493
58	379	12472
59	385	12452
60	391	12443
61	397	12414
62	403	12408
63	409	12387
64	415	12364
65	421	12352
66	427	12343
67	433	12326
68	439	12304
69	446	12297
70	451	12279
71	458	12268
72	464	12257
73	470	12240
74	476	12229
75	482	12213
76	488	12208
77	494	12191
78	501	12190
79	507	12175
80	513	12155
81	519	12140
82	525	12129
83	531	12115
84	536	12096
85	543	12095
86	549	12090
87	556	12083
88	563	12091
89	569	12085
90	578	12127
91	584	12127
92	590	12118
93	597	12124
94	603	12108
95	609	12090
96	616	12085
97	622	12074
98	628	12065
99	634	12050
100	640	12050
101	646	12038
102	652	12024
103	658	12005
104	664	11999
105	670	11983
106	676	11968
107	682	11963
108	688	11953
109	695	11946
110	701	11937
111	707	11928
112	713	11918
113	719	11908
114	725	11898
115	731	11887
116	738	11885
117	744	11880
118	751	11872
119	757	11860
120	763	11853
121	770	11852
122	775	11839
123	782	11834
124	788	11832
125	794	11821
126	800	11812
127	806	11801
128	812	11791
129	818	11779
130	825	11779
131	831	11772
132	839	11779
133	845	11773
134	851	11767
135	857	11754
136	863	11744
137	870	11742
138	876	11735
139	882	11729
140	889	11732
141	895	11721
142	902	11722
143	909	11717
144	915	11712
145	922	11714
146	928	11706
147	935	11705
148	942	11703
149	948	11698
150	955	11694
151	960	11682
152	967	11683
153	974	11684
154	981	11677
155	987	11673
156	993	11665
157	1000	11666
158	1007	11665
159	1013	11657
